invoice_id,vendor,amount,date,description
1959,IJK Inc,4745.18,2024-02-04,Software License
5162,GHI Inc,4416.34,2025-03-14,Catering
6220,Nova Supplies,5971.72,2025-11-19,
8972,Quantum Industries,2983.09,2025-10-15,Repair & Maintenance
8087,Zenith Partners,2925.63,2024-05-12,Consulting
2680,LMN Ltd,6842.62,2025-08-12,Advertising
1141,Quantum Industries,2385.43,2025-08-29,Insurance Premium
9099,JKL Pvt,7677.75,2025-11-15,Professional Fees
3529,GHI Inc,9675.76,2024-03-28,Insurance Premium
1688,Pinnacle Ltd,3457.2,2025-10-04,Goods Purchase
7159,GHI Inc,12414.86,2025-09-12,Repair & Maintenance
3955,ABC Ltd,5132.56,2025-06-05,Goods Purchase
211,Sigma Tech,6267.44,2025-12-21,Logistics
2858,Vanguard Corp,7461.0,2024-04-05,Goods Purchase
3191,JKL Pvt,4008.69,2024-03-08,Training
5274,Nova Supplies,9173.51,2025-05-15,Maintenance
9899,JKL Pvt,7365.57,2024-11-03,Equipment
6258,UVW Co,4425.76,2024-02-20,Professional Fees
7149,JKL Pvt,8834.92,2024-06-16,Office Supplies
4869,MNO Inc,6926.47,2025-03-03,Consulting
1805,UVW Co,5370.79,2025-01-03,Raw Materials
4329,Pinnacle Ltd,1308.44,2025-08-19,Maintenance
3672,GHI Ltd,3381.32,2024-12-07,Catering
8879,JKL LLC,,2025-03-01,Consulting
4605,Bright Solutions,8660.5,2024-02-15,Insurance Premium
1800,GHI Ltd,5199.49,2025-09-18,Software License
5483,Quantum Industries,1541.4,2025-01-23,Travel Reimbursement
3680,DEF Inc,2869.9,2025-09-27,Raw Materials
1111,IJK Inc,2308.18,2025-03-30,Logistics
5251,Atlas Materials,3976.11,2025-07-30,Equipment
1919,Sigma Tech,5012.34,2025-07-08,Catering
9503,Nova Supplies,2274.84,2025-06-08,Equipment
8528,JKL Pvt,2791.2,2024-12-05,Utilities
3217,Omega Services,3739.46,2025-02-14,Services
5293,JKL Pvt,3033.15,2025-08-17,Insurance Premium
6249,Atlas Materials,3953.71,2025-05-31,Office Supplies
1178,Omega Services,2496.46,2025-10-03,Logistics
8067,GHI Inc,8488.58,2024-10-23,Consulting
1774,Apex Trading,5967.88,2025-08-02,Training
2638,RST Pvt,1574.29,2024-04-21,Raw Materials
6780,Atlas Materials,5909.63,2024-06-25,Goods Purchase
10173,Delta Logistics,129587.77,2024-04-04,Subscription
6875,Nova Supplies,5006.22,2025-01-19,Services
2691,Quantum Industries,4911.08,2025-02-20,Professional Fees
7231,JKL Pvt,2438.88,2025-10-18,Logistics
2636,Zenith Partners,,2025-04-30,Travel Reimbursement
4622,IJK Inc,1267.04,2025-01-02,Equipment
65,Omega Services,2896.55,2024-05-07,Training
5666,DEF Co,4323.22,2025-11-13,Office Supplies
1942,Omega Services,3878.88,2025-07-04,Utilities
8871,Omega Services,3020.04,2024-03-16,Training
7568,Zenith Partners,,2024-06-16,Professional Fees
8120,Delta Logistics,5785.27,2025-12-24,Travel Reimbursement
2895,IJK Inc,3554.75,2024-10-21,Office Supplies
3957,OPQ Corp,3927.4,2024-02-16,Marketing
