invoice_id,vendor,amount,date,description
80NSSC24FA361,"NEW TECH SOLUTIONS, INC.",24225.0,2024-03-11,WIND RIVER SIMICS SOFTWARE LICENSE RENEWAL
80NSSC24FA362,FOUR LLC,114935.53,2024-03-08,"THIS TASK ORDER IS TO PURCHASE SPLUNK ENTERPRISE LICENSE PER QUOTE# 1218055004 DATED, 03/06/2024.  PERIOD OF PERFORMANCE 03/16/2024 - 03/15/2025"
80NSSC24FA363,"KBR WYLE SERVICES, LLC",249544.0,2024-03-08,"MODELING, SYSTEMS ENGINEERING, AND INTEGRATION FOR NUCLEAR THERMAL PROPULSION"
80NSSC24FA364,"AUGUST SCHELL ENTERPRISES, INC.",21524.11,2024-03-12,IVANTI SOFTWARE MAINTENANCE RENEWAL
80NSSC24FA365,THE TRAINING CONNECTION INC,39067.92,2024-03-14,"OP ENTERPRISE MENTORING PROGRAM 2, DATE: 13 MONTHS"
80NSSC24FA366,"DH TECHNOLOGIES, INC.",48048.0,2024-03-08,"THIS TASK ORDER IS TO PURCHASE ATLASSIAN JIRA SOFTWARE RENEWAL PER QUOTE#Q-00058583, DATED 02/26/2024. PERIOD OF PERFORMANCE IS 03/09/2024 - 03/08/2025."
80NSSC24FA367,"ADVANCED COMPUTER CONCEPTS, INC.",37321.5,2024-03-11,SW - FLEXNET/ADMIN STUDIO
80NSSC24FA368,THE ARBINGER COMPANY,26665.4,2024-03-11,"DEVELOPING AND IMPLEMENTING AN OUTWARD MINDSET, LIVE/IN-PERSON INSTRUCTOR-LED TRAINING"
80NSSC24FA369,"FOUR POINTS TECHNOLOGY, L.L.C.",21169.71,2024-03-13,"THIS TASK ORDER IS TO PURCHASE RSA SECURID SOFTWARE TOKEN SEEDS RENEWAL PER QUOTE# 113749-1, DATED 02/16/2024. PERIOD OF PERFORMANCE IS 12 MONTHS FROM DATE OF AWARD."
80NSSC24FA370,"TRI-TECH FORENSICS, INC.",90796.3,2024-03-11,"STOP THE BLEED KITS TO INCLUDE THE FOLLOWING (MARKET RESEARCH/PRICE LINKS IN SAP AND IN THE ATTACHMENTS BELOW): TRAUMA SHEARS, TOURNIQUETS, GAUZE, QUICKCLOT, GLOVES, BAGS, SHARPIES, HARD CAES, BREAKAWAY LOCKS, TRAINING APPARATUS"
